INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
300318397,01/30/2025,14:29:00,BRONX,OUTSIDE,48,0,STREET,18-24,M,BLACK HISPANIC,40.846273,-73.885036
299382241,01/13/2025,21:15:00,MANHATTAN,OUTSIDE,30,0,STREET,25-44,M,BLACK HISPANIC,40.824207,-73.95208
299996365,01/24/2025,20:20:00,BRONX,OUTSIDE,42,0,STREET,45-64,M,BLACK HISPANIC,40.827717,-73.890893
303036414,03/17/2025,20:35:00,BRONX,OUTSIDE,46,0,STREET,18-24,M,WHITE HISPANIC,40.846651,-73.913105
298756517,01/01/2025,05:15:00,BRONX,OUTSIDE,44,0,STREET,18-24,M,BLACK,40.83712653,-73.90963478
304022767,04/01/2025,15:30:00,BRONX,OUTSIDE,48,0,STREET,25-44,M,WHITE HISPANIC,40.851386,-73.882234
300412113,02/01/2025,05:05:00,QUEENS,OUTSIDE,104,0,STREET,25-44,M,BLACK HISPANIC,40.709882,-73.914147
307581457,06/04/2025,21:15:00,MANHATTAN,OUTSIDE,10,2,HOUSING,18-24,M,BLACK,40.74347,-74.005392
299453928,01/14/2025,19:06:00,BROOKLYN,OUTSIDE,81,0,STREET,<18,M,BLACK,40.68034,-73.930039
301377740,02/13/2025,19:20:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,18-24,M,BLACK,40.665074,-73.887429
311298007,08/16/2025,02:28:00,BRONX,OUTSIDE,45,0,STREET,25-44,F,BLACK,40.83351,-73.828497
300566188,02/04/2025,12:20:00,MANHATTAN,OUTSIDE,10,2,HOUSING,25-44,M,BLACK,40.74347,-74.005392
312802388,09/12/2025,16:10:00,BROOKLYN,OUTSIDE,67,0,STREET,45-64,F,BLACK,40.652778,-73.930494
306651766,05/18/2025,23:43:00,MANHATTAN,OUTSIDE,28,0,STREET,25-44,M,BLACK,40.809184,-73.951896
300341223,01/31/2025,11:55:00,BROOKLYN,OUTSIDE,79,0,STREET,25-44,F,WHITE HISPANIC,40.692485,-73.960292
311661208,08/22/2025,16:03:00,BRONX,OUTSIDE,45,0,STREET,<18,M,BLACK,40.84003243,-73.84453462
313251172,09/20/2025,10:37:00,MANHATTAN,OUTSIDE,32,0,STREET,25-44,M,BLACK,40.829371,-73.938802
306675852,05/19/2025,14:12:00,MANHATTAN,OUTSIDE,28,2,HOUSING,<18,M,WHITE HISPANIC,40.799054,-73.947644
